timestamp (UTC),container,cpu_percent (%),mem_usage (MiB),mem_percent (%),net_input (B),net_output (B),gpu_mem_usage (MiB),gpu_utilization (%)
2024-12-11 06:57:16,param-server-GPU0,99.89,163.1,0.06,2320.0,0.0,15.0,0.0
2024-12-11 06:57:16,worker-2-GPU2,0.0,0.88671875,0.0,266.0,0.0,15.0,0.0
2024-12-11 06:57:16,worker-0-GPU0,0.0,0.875,0.0,1760.0,0.0,15.0,0.0
2024-12-11 06:57:16,worker-1-GPU1,0.0,0.8828125,0.0,1250.0,0.0,15.0,0.0
2024-12-11 06:57:18,param-server-GPU0,3.64,173.9,0.07,2590.0,0.0,15.0,0.0
2024-12-11 06:57:18,worker-1-GPU1,0.0,0.8828125,0.0,1960.0,0.0,15.0,0.0
2024-12-11 06:57:18,worker-0-GPU0,0.0,0.875,0.0,2060.0,0.0,15.0,0.0
2024-12-11 06:57:18,worker-2-GPU2,0.0,0.88671875,0.0,1760.0,0.0,15.0,0.0
2024-12-11 06:57:20,param-server-GPU0,3.47,173.9,0.07,2700.0,0.0,15.0,0.0
2024-12-11 06:57:20,worker-2-GPU2,0.0,0.88671875,0.0,2060.0,0.0,15.0,0.0
2024-12-11 06:57:20,worker-1-GPU1,0.0,0.8828125,0.0,2330.0,0.0,15.0,0.0
2024-12-11 06:57:20,worker-0-GPU0,0.0,0.875,0.0,2330.0,0.0,15.0,0.0
2024-12-11 06:57:22,param-server-GPU0,3.49,173.9,0.07,2700.0,0.0,15.0,0.0
2024-12-11 06:57:22,worker-2-GPU2,0.0,0.88671875,0.0,2330.0,0.0,15.0,0.0
2024-12-11 06:57:22,worker-0-GPU0,0.0,0.875,0.0,2440.0,0.0,15.0,0.0
2024-12-11 06:57:22,worker-1-GPU1,0.0,0.8828125,0.0,2330.0,0.0,15.0,0.0
2024-12-11 06:57:24,param-server-GPU0,4.25,173.9,0.07,2700.0,0.0,15.0,0.0
2024-12-11 06:57:24,worker-0-GPU0,0.0,0.875,0.0,2440.0,0.0,15.0,0.0
2024-12-11 06:57:24,worker-1-GPU1,0.0,0.8828125,0.0,2440.0,0.0,15.0,0.0
2024-12-11 06:57:24,worker-2-GPU2,0.0,0.88671875,0.0,2440.0,0.0,15.0,0.0
2024-12-11 06:57:26,param-server-GPU0,3.45,173.9,0.07,2770.0,0.0,15.0,0.0
2024-12-11 06:57:26,worker-0-GPU0,0.0,0.875,0.0,2440.0,0.0,15.0,0.0
2024-12-11 06:57:26,worker-1-GPU1,0.0,0.8828125,0.0,2440.0,0.0,15.0,0.0
2024-12-11 06:57:26,worker-2-GPU2,0.0,0.88671875,0.0,2440.0,0.0,15.0,0.0
2024-12-11 06:57:28,param-server-GPU0,3.49,173.9,0.07,2880.0,0.0,15.0,0.0
2024-12-11 06:57:28,worker-0-GPU0,0.0,0.875,0.0,2510.0,0.0,15.0,0.0
2024-12-11 06:57:28,worker-2-GPU2,0.0,0.88671875,0.0,2440.0,0.0,15.0,0.0
2024-12-11 06:57:28,worker-1-GPU1,0.0,0.8828125,0.0,2510.0,0.0,15.0,0.0
2024-12-11 06:57:30,param-server-GPU0,3.56,173.9,0.07,2880.0,0.0,15.0,0.0
2024-12-11 06:57:30,worker-0-GPU0,0.0,0.875,0.0,2620.0,0.0,15.0,0.0
